timestep,site,spp,count
13,10,spp5,0
13,11,spp5,0
13,12,spp5,0
14,1,spp1,78
14,2,spp1,98
14,3,spp1,101
14,4,spp1,0
14,5,spp1,0
14,6,spp1,0
14,7,spp1,0
14,8,spp1,0
14,9,spp1,0
14,10,spp1,23
14,11,spp1,31
14,12,spp1,25
14,1,spp2,0
14,2,spp2,0
14,3,spp2,0
14,4,spp2,0
14,5,spp2,0
14,6,spp2,1
14,7,spp2,103
14,8,spp2,0
14,9,spp2,103
14,10,spp2,0
14,11,spp2,0
14,12,spp2,0
14,1,spp3,24
14,2,spp3,4
14,3,spp3,1
14,4,spp3,78
14,5,spp3,55
14,6,spp3,62
14,7,spp3,0
14,8,spp3,0
14,9,spp3,0
14,10,spp3,78
14,11,spp3,72
14,12,spp3,76
14,1,spp4,0
14,2,spp4,0
14,3,spp4,0
14,4,spp4,24
14,5,spp4,47
14,6,spp4,39
14,7,spp4,0
14,8,spp4,0
14,9,spp4,0
14,10,spp4,0
14,11,spp4,0
14,12,spp4,0
14,1,spp5,0
14,2,spp5,0
14,3,spp5,0
14,4,spp5,0
14,5,spp5,0
14,6,spp5,0
14,7,spp5,0
14,8,spp5,101
14,9,spp5,0
14,10,spp5,0
14,11,spp5,0
14,12,spp5,0
15,1,spp1,81
15,2,spp1,100
15,3,spp1,100
15,4,spp1,0
15,5,spp1,0
15,6,spp1,0
15,7,spp1,0
15,8,spp1,0
15,9,spp1,0
15,10,spp1,27
15,11,spp1,41
15,12,spp1,30
15,1,spp2,0
15,2,spp2,0
15,3,spp2,0
15,4,spp2,0
15,5,spp2,0
15,6,spp2,3
15,7,spp2,103
15,8,spp2,0
15,9,spp2,103
15,10,spp2,0
15,11,spp2,0
15,12,spp2,0
15,1,spp3,21
15,2,spp3,2
15,3,spp3,2
15,4,spp3,73
15,5,spp3,54
15,6,spp3,55
15,7,spp3,0
15,8,spp3,0
15,9,spp3,0
15,10,spp3,74
15,11,spp3,62
15,12,spp3,71
15,1,spp4,0
15,2,spp4,0
15,3,spp4,0
15,4,spp4,29
15,5,spp4,48
15,6,spp4,44
15,7,spp4,0
15,8,spp4,0
15,9,spp4,0
15,10,spp4,0
15,11,spp4,0
15,12,spp4,0
15,1,spp5,0
15,2,spp5,0
15,3,spp5,0
15,4,spp5,0
15,5,spp5,0
15,6,spp5,0
15,7,spp5,0
15,8,spp5,101
15,9,spp5,0
15,10,spp5,0
15,11,spp5,0
15,12,spp5,0
16,1,spp1,74
16,2,spp1,96
16,3,spp1,99
16,4,spp1,0
16,5,spp1,0
16,6,spp1,0
16,7,spp1,0
16,8,spp1,0
16,9,spp1,0
16,10,spp1,36
16,11,spp1,44
16,12,spp1,35
16,1,spp2,0
16,2,spp2,0
16,3,spp2,0
16,4,spp2,0
16,5,spp2,0
16,6,spp2,2
16,7,spp2,103
16,8,spp2,0
16,9,spp2,103
16,10,spp2,0
16,11,spp2,0
16,12,spp2,0
16,1,spp3,28
16,2,spp3,6
16,3,spp3,3
16,4,spp3,80
16,5,spp3,54
16,6,spp3,51
16,7,spp3,0
16,8,spp3,0
16,9,spp3,0
16,10,spp3,65
16,11,spp3,59
16,12,spp3,66
16,1,spp4,0
16,2,spp4,0
16,3,spp4,0
16,4,spp4,22
16,5,spp4,48
16,6,spp4,49
16,7,spp4,0
16,8,spp4,0
16,9,spp4,0
16,10,spp4,0
16,11,spp4,0
16,12,spp4,0
16,1,spp5,0
16,2,spp5,0
16,3,spp5,0
16,4,spp5,0
16,5,spp5,0
16,6,spp5,0
16,7,spp5,0
16,8,spp5,101
16,9,spp5,0
16,10,spp5,0
16,11,spp5,0
16,12,spp5,0
17,1,spp1,76
17,2,spp1,99
17,3,spp1,99
17,4,spp1,0
17,5,spp1,0
17,6,spp1,0
17,7,spp1,0
17,8,spp1,0
17,9,spp1,0
17,10,spp1,45
17,11,spp1,47
17,12,spp1,31
17,1,spp2,0
17,2,spp2,0
17,3,spp2,0
17,4,spp2,0
17,5,spp2,0
17,6,spp2,2
17,7,spp2,103
17,8,spp2,0
17,9,spp2,103
17,10,spp2,0
17,11,spp2,0
17,12,spp2,0
17,1,spp3,26
17,2,spp3,3
17,3,spp3,3
17,4,spp3,89
17,5,spp3,62
17,6,spp3,51
17,7,spp3,0
17,8,spp3,0
17,9,spp3,0
17,10,spp3,56
17,11,spp3,56
17,12,spp3,70
17,1,spp4,0
17,2,spp4,0
17,3,spp4,0
17,4,spp4,13
17,5,spp4,40
17,6,spp4,49
17,7,spp4,0
17,8,spp4,0
17,9,spp4,0
17,10,spp4,0
17,11,spp4,0
17,12,spp4,0
17,1,spp5,0
17,2,spp5,0
17,3,spp5,0
17,4,spp5,0
17,5,spp5,0
17,6,spp5,0
17,7,spp5,0
17,8,spp5,101
17,9,spp5,0
17,10,spp5,0
17,11,spp5,0
17,12,spp5,0
18,1,spp1,80
18,2,spp1,99
18,3,spp1,99
18,4,spp1,0
18,5,spp1,0
18,6,spp1,0
18,7,spp1,0
18,8,spp1,0
18,9,spp1,0
18,10,spp1,46
