timestep,site,spp,count
11,10,spp3,2
11,11,spp3,1
11,12,spp3,0
11,1,spp4,24
11,2,spp4,18
11,3,spp4,7
11,4,spp4,29
11,5,spp4,35
11,6,spp4,23
11,7,spp4,5
11,8,spp4,6
11,9,spp4,6
11,10,spp4,7
11,11,spp4,17
11,12,spp4,16
11,1,spp5,30
11,2,spp5,45
11,3,spp5,48
11,4,spp5,22
11,5,spp5,24
11,6,spp5,40
11,7,spp5,17
11,8,spp5,19
11,9,spp5,28
11,10,spp5,31
11,11,spp5,41
11,12,spp5,45
12,1,spp1,29
12,2,spp1,19
12,3,spp1,24
12,4,spp1,37
12,5,spp1,38
12,6,spp1,24
12,7,spp1,42
12,8,spp1,40
12,9,spp1,24
12,10,spp1,20
12,11,spp1,12
12,12,spp1,13
12,1,spp2,20
12,2,spp2,19
12,3,spp2,21
12,4,spp2,13
12,5,spp2,10
12,6,spp2,22
12,7,spp2,26
12,8,spp2,29
12,9,spp2,36
12,10,spp2,43
12,11,spp2,28
12,12,spp2,25
12,1,spp3,0
12,2,spp3,4
12,3,spp3,0
12,4,spp3,3
12,5,spp3,0
12,6,spp3,0
12,7,spp3,0
12,8,spp3,2
12,9,spp3,11
12,10,spp3,2
12,11,spp3,1
12,12,spp3,0
12,1,spp4,19
12,2,spp4,16
12,3,spp4,11
12,4,spp4,31
12,5,spp4,33
12,6,spp4,14
12,7,spp4,5
12,8,spp4,11
12,9,spp4,3
12,10,spp4,9
12,11,spp4,18
12,12,spp4,13
12,1,spp5,33
12,2,spp5,45
12,3,spp5,45
12,4,spp5,18
12,5,spp5,21
12,6,spp5,42
12,7,spp5,29
12,8,spp5,20
12,9,spp5,28
12,10,spp5,29
12,11,spp5,42
12,12,spp5,52
13,1,spp1,28
13,2,spp1,28
13,3,spp1,23
13,4,spp1,41
13,5,spp1,34
13,6,spp1,22
13,7,spp1,41
13,8,spp1,34
13,9,spp1,29
13,10,spp1,29
13,11,spp1,15
13,12,spp1,19
13,1,spp2,17
13,2,spp2,18
13,3,spp2,25
13,4,spp2,15
13,5,spp2,9
13,6,spp2,26
13,7,spp2,23
13,8,spp2,38
13,9,spp2,41
13,10,spp2,29
13,11,spp2,30
13,12,spp2,23
13,1,spp3,1
13,2,spp3,3
13,3,spp3,0
13,4,spp3,5
13,5,spp3,0
13,6,spp3,0
13,7,spp3,0
13,8,spp3,0
13,9,spp3,8
13,10,spp3,3
13,11,spp3,0
13,12,spp3,0
13,1,spp4,15
13,2,spp4,14
13,3,spp4,14
13,4,spp4,30
13,5,spp4,35
13,6,spp4,18
13,7,spp4,6
13,8,spp4,16
13,9,spp4,2
13,10,spp4,9
13,11,spp4,15
13,12,spp4,10
13,1,spp5,40
13,2,spp5,40
13,3,spp5,39
13,4,spp5,11
13,5,spp5,24
13,6,spp5,36
13,7,spp5,32
13,8,spp5,14
13,9,spp5,22
13,10,spp5,33
13,11,spp5,41
13,12,spp5,51
14,1,spp1,21
14,2,spp1,31
14,3,spp1,18
14,4,spp1,45
14,5,spp1,36
14,6,spp1,28
14,7,spp1,36
14,8,spp1,38
14,9,spp1,33
14,10,spp1,34
14,11,spp1,12
14,12,spp1,18
14,1,spp2,14
14,2,spp2,20
14,3,spp2,21
14,4,spp2,11
14,5,spp2,13
14,6,spp2,26
14,7,spp2,29
14,8,spp2,36
14,9,spp2,33
14,10,spp2,22
14,11,spp2,32
14,12,spp2,24
14,1,spp3,0
14,2,spp3,3
14,3,spp3,0
14,4,spp3,0
14,5,spp3,0
14,6,spp3,0
14,7,spp3,0
14,8,spp3,0
14,9,spp3,4
14,10,spp3,6
14,11,spp3,0
14,12,spp3,0
14,1,spp4,15
14,2,spp4,14
14,3,spp4,17
14,4,spp4,31
14,5,spp4,31
14,6,spp4,12
14,7,spp4,6
14,8,spp4,13
14,9,spp4,5
14,10,spp4,9
14,11,spp4,16
14,12,spp4,9
14,1,spp5,51
14,2,spp5,35
14,3,spp5,45
14,4,spp5,15
14,5,spp5,22
14,6,spp5,36
14,7,spp5,31
14,8,spp5,15
14,9,spp5,27
14,10,spp5,32
14,11,spp5,41
14,12,spp5,52
15,1,spp1,29
15,2,spp1,27
15,3,spp1,23
15,4,spp1,46
15,5,spp1,34
15,6,spp1,22
15,7,spp1,31
15,8,spp1,38
15,9,spp1,31
15,10,spp1,31
15,11,spp1,15
15,12,spp1,19
15,1,spp2,21
15,2,spp2,24
15,3,spp2,16
15,4,spp2,18
15,5,spp2,10
15,6,spp2,31
15,7,spp2,34
15,8,spp2,28
15,9,spp2,30
15,10,spp2,21
15,11,spp2,32
15,12,spp2,19
15,1,spp3,0
15,2,spp3,1
15,3,spp3,0
15,4,spp3,1
15,5,spp3,1
15,6,spp3,0
15,7,spp3,0
15,8,spp3,0
15,9,spp3,2
15,10,spp3,12
15,11,spp3,0
15,12,spp3,0
15,1,spp4,10
15,2,spp4,12
15,3,spp4,15
15,4,spp4,19
15,5,spp4,33
15,6,spp4,14
15,7,spp4,10
15,8,spp4,14
15,9,spp4,2
15,10,spp4,8
15,11,spp4,17
15,12,spp4,11
15,1,spp5,41
15,2,spp5,39
15,3,spp5,47
15,4,spp5,18
15,5,spp5,24
15,6,spp5,35
15,7,spp5,27
15,8,spp5,22
15,9,spp5,37
15,10,spp5,31
15,11,spp5,37
15,12,spp5,54
16,1,spp1,23
16,2,spp1,25
16,3,spp1,25
